_original_index,comment_id,Topic,Name,Primary_Concern,Top_n_words,Probability
879,ICEB-2025-0001-0892,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,0.9166340276294874
880,ICEB-2025-0001-0893,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.4451993190979572
881,ICEB-2025-0001-0894,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,1.0
882,ICEB-2025-0001-0895,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
883,ICEB-2025-0001-0896,-1,-1_students_international_international students_research,Mixed or unclassified international student and research concerns,students - international - international students - research - proposed - academic - dhs - graduate - programs - not,0.0
884,ICEB-2025-0001-0897,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,0.994363537964014
885,ICEB-2025-0001-0898,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
886,ICEB-2025-0001-0899,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
887,ICEB-2025-0001-0900,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
888,ICEB-2025-0001-0901,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,0.8295156474632893
889,ICEB-2025-0001-0902,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
890,ICEB-2025-0001-0903,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
891,ICEB-2025-0001-0904,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
892,ICEB-2025-0001-0905,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
893,ICEB-2025-0001-0906,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
894,ICEB-2025-0001-0907,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
895,ICEB-2025-0001-0908,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
896,ICEB-2025-0001-0909,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
897,ICEB-2025-0001-0910,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
898,ICEB-2025-0001-0911,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
899,ICEB-2025-0001-0912,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
900,ICEB-2025-0001-0913,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,0.8524581175514896
901,ICEB-2025-0001-0914,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
902,ICEB-2025-0001-0915,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
903,ICEB-2025-0001-0916,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
904,ICEB-2025-0001-0917,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
905,ICEB-2025-0001-0918,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.7428846236040418
906,ICEB-2025-0001-0919,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
907,ICEB-2025-0001-0920,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
908,ICEB-2025-0001-0921,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
909,ICEB-2025-0001-0922,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
910,ICEB-2025-0001-0923,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
911,ICEB-2025-0001-0924,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
